,mean_state_salary,home_city_code,education,published_date,schedule_type,experience,salary,professional_skills,add_skills,busy_type,business_trip,retraining_capability,fullness_rate,n_jobs,additionalEducationList,english_level
64,60769,1100000100000,1.0,2022-11-25,1.0,31,50000,0,0,1.0,1,1,73,6,0,0.5
65,60608,2400000100000,0.5,2022-03-30,1.0,0,15000,0,0,0.6,0,1,61,0,0,0.0
66,60608,2400001600000,0.5,2022-04-12,1.0,0,25000,0,0,1.0,1,1,72,0,0,0.0
67,60608,2400001600000,0.6,2022-07-12,0.8,0,60000,0,0,0.6,1,1,65,0,0,0.0
68,60608,2400001300000,0.5,2022-06-17,1.0,2,25000,0,0,1.0,0,1,61,1,0,0.0
69,60608,2400000400000,1.0,2023-02-10,1.0,0,50000,0,0,1.0,0,1,71,0,0,0.9
70,59098,2800000200000,0.6,2022-04-06,1.0,9,30000,0,0,1.0,0,0,62,8,0,0.0
71,59098,2800000100000,0.5,2022-12-08,0.8,0,80000,0,0,0.6,0,1,59,0,0,0.0
72,59098,2801000003300,0.5,2022-02-08,1.0,0,35000,0,0,1.0,0,0,52,0,0,0.0
73,58786,2700000000000,0.6,2022-05-23,1.0,0,30000,0,0,1.0,0,0,62,0,0,0.5
74,58786,2700000100000,0.6,2022-06-20,1.0,0,50000,0,0,1.0,0,1,61,0,0,0.0
75,58786,2700000500000,0.6,2022-12-21,1.0,0,40000,0,0,1.0,1,1,74,1,0,0.0
76,58786,2700000500000,1.0,2021-11-08,1.0,25,50000,0,0,1.0,1,1,72,6,0,0.3
77,58786,2700000100000,1.0,2022-04-20,1.0,0,50000,0,0,1.0,0,0,57,0,0,0.0
78,58786,2700000500000,1.0,2022-10-28,1.0,8,50000,0,0,1.0,0,1,77,2,0,0.7
79,57979,2901900100000,0.6,2022-11-24,1.0,1,30000,0,0,1.0,0,0,67,1,0,0.5
80,57979,2900000000000,0.5,2022-07-04,1.0,0,30000,0,0,1.0,0,0,47,0,0,0.0
81,57979,2900000300000,0.6,2021-10-29,1.0,0,29998,0,0,1.0,1,1,82,0,0,0.9
82,57979,2901800000100,0.6,2022-04-15,1.0,3,23700,0,0,1.0,0,1,74,2,0,0.3
